Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
InN PVALB PDE3A,Parvalbumin interneuron,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Lake et al.science.ex6,6.0,8.823529411764707,7.1428571428571415,3.7037037037037033,3,50,34,Interneurons,14.000000000000002,3.225806451612903,5.2434456928838955,2.6923076923076925,7,50,217
InN VIP CLSTN2,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Neuroblasts,6.0,6.0,6.0,3.0927835051546393,3,50,50,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59
PC P2RY14 GRM8,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7,Pericyte,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Cancer cell,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41
Micro P2RY12 CCL3,Mesenchymal cell,4.0,18.181818181818183,6.557377049180327,3.389830508474576,2,50,11,Astrocyte,10.0,2.3923444976076556,3.8610038610038617,1.968503937007874,5,50,209,Mature dendritic cell,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2
L2-3 CUX2 ACVR1C THSD7A,Lake et al.science.ex1,4.0,14.285714285714285,6.25,3.225806451612903,2,50,14,Neurons,8.0,1.9704433497536946,3.1620553359683794,1.6064257028112447,4,50,203,Interneurons,8.0,1.8433179723502304,2.99625468164794,1.520912547528517,4,50,217
T SKAP1 CD247,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28,Cancer stem cell,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41,T cell,4.0,4.545454545454546,4.25531914893617,2.1739130434782608,2,50,44
L6 OPRK1 THEMIS RGS6,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69,Pan-neuronal cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
L2-3 CUX2 NTNG1 COL5A2,Neuroblasts,4.0,4.0,4.0,2.0408163265306123,2,50,50,Lake et al.science.ex3,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
VLMC COL1A2 VLMCA8,Truncated radial glial cell,2.0,33.33333333333333,3.7735849056603774,1.9230769230769231,1,50,3,Lake et al.science.in7,2.0,16.666666666666664,3.571428571428571,1.8181818181818181,1,50,6,Lake et al.science.ex2,2.0,10.0,3.3333333333333335,1.694915254237288,1,50,10
L3-5 RORB GABRG1 KCNH7,Glutamatergic neuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Lake et al.science.ex5,2.0,11.11111111111111,3.389830508474577,1.7241379310344827,1,50,9
