gene,weight
BAIAP2,1.0
BAIAP2-DT,1.0
BAIAP2L1,1.0
BAIAP2L2,1.0
BAIAP3,1.0
BAK1,1.0
BAMBI,1.0
BANF1,1.0
BANK1,1.0
BANP,1.0
BAP1,1.0
BARD1,1.0
BASP1-AS1,1.0
BATF3,1.0
BAX,1.0
BAZ1A,1.0
BAZ1B,1.0
BAZ2A,1.0
BAZ2B,1.0
BAZ2B-AS1,1.0
BBC3,1.0
BBLN,1.0
BBOF1,1.0
BBOX1,1.0
BBOX1-AS1,1.0
BBS1,1.0
BBS10,1.0
BBS12,1.0
BBS4,1.0
BBS5,1.0
BBS9,1.0
BBX,1.0
BCAM,1.0
BCAN,1.0
BCAP29,1.0
BCAP31,1.0
BCAR3,1.0
BCAS1,1.0
BCAS2,1.0
BCAS3-AS1,1.0
BCAS4,1.0
BCAT2,1.0
BCCIP,1.0
BCDIN3D,1.0
BCDIN3D-AS1,1.0
BCHE,1.0
BCKDHA,1.0
BCKDHB,1.0
BCKDK,1.0
BCL10,1.0
BCL10-AS1,1.0
BCL11A,1.0
BCL11B,1.0
BCL2,1.0
BCL2L1,1.0
BCL2L1-AS1,1.0
BCL2L11,1.0
BCL2L12,1.0
BCL2L14,1.0
BCL2L15,1.0
BCL2L2,1.0
BCL3,1.0
BCL6,1.0
BCL7A,1.0
BCL7B,1.0
BCL7C,1.0
BCL9,1.0
BCL9L,1.0
BCLAF3,1.0
BCO1,1.0
BCO2,1.0
BCOR,1.0
BCORL1,1.0
BCR,1.0
BCS1L,1.0
BDH2,1.0
BDKRB2,1.0
BDNF,1.0
BDNF-AS,1.0
BECN1,1.0
BEGAIN,1.0
BEND3,1.0
BEND4,1.0
BEND5,1.0
BEND7,1.0
BEST1,1.0
BEST3,1.0
BEST4,1.0
BET1,1.0
BET1-AS1,1.0
BET1L,1.0
BEX1,1.0
BEX2,1.0
BEX3,1.0
BEX4,1.0
BEX5,1.0
BFAR,1.0
BFSP1,1.0
BGLAP,1.0
BHLHA9,1.0
BHLHE40,1.0
BHLHE40-AS1,1.0
BHLHE41,1.0
BHMT2,1.0
BICC1,1.0
BICD2,1.0
BICDL1,1.0
BICRA,1.0
BID,1.0
BIN1,1.0
BIN2,1.0
BIN3,1.0
BIRC2,1.0
BIRC3,1.0
BIRC6-AS2,1.0
BISPR,1.0
BLACAT1,1.0
BLM,1.0
BLMH,1.0
BLNK,1.0
BLOC1S1,1.0
BLOC1S2,1.0
BLOC1S3,1.0
BLOC1S4,1.0
BLOC1S5,1.0
BLOC1S6,1.0
BLTP3A,1.0
BLVRA,1.0
BLVRB,1.0
BMAL2,1.0
BMI1,1.0
BMP1,1.0
BMP2,1.0
BMP2K,1.0
BMP4,1.0
BMP6,1.0
BMP7,1.0
BMP8A,1.0
BMP8B,1.0
BMPER,1.0
BMPR1B,1.0
BMT2,1.0
BMX,1.0
BNC2,1.0
BNIP1,1.0
BNIP2,1.0
BNIP3,1.0
BNIPL,1.0
BOC,1.0
BOD1,1.0
BOD1L1,1.0
BOK,1.0
BOK-AS1,1.0
BOLA1,1.0
BOLA2B,1.0
BOLA3,1.0
BOLA3-DT,1.0
BOP1,1.0
BORA,1.0
BORCS6,1.0
BORCS7,1.0
BORCS8,1.0
BPGM,1.0
BPHL,1.0
BPNT1,1.0
BRAP,1.0
BRAT1,1.0
BRCA1,1.0
BRCA2,1.0
BRCC3,1.0
BRD2,1.0
BRD3,1.0
BRD3OS,1.0
BRD7,1.0
BRD9,1.0
BRF2,1.0
BRI3,1.0
BRICD5,1.0
BRINP1,1.0
BRINP2,1.0
BRINP3,1.0
BRINP3-DT,1.0
BRIP1,1.0
BRIX1,1.0
BRK1,1.0
BRME1,1.0
BRMS1,1.0
BROX,1.0
BRPF1,1.0
BRPF3,1.0
BRPF3-AS1,1.0
BRSK1,1.0
BRWD3,1.0
BSCL2,1.0
BSG,1.0
BSN,1.0
BSN-DT,1.0
BSPRY,1.0
BST1,1.0
BTBD16,1.0
BTBD19,1.0
BTBD6,1.0
BTBD9,1.0
BTC,1.0
BTF3,1.0
BTG1,1.0
BTG1-DT,1.0
BTG2,1.0
BTG3,1.0
BTG3-AS1,1.0
BTK,1.0
BTN2A1,1.0
BTN2A2,1.0
BTN3A1,1.0
BTN3A2,1.0
BTN3A3,1.0
BUB1B,1.0
BUB3,1.0
BUD13,1.0
BUD23,1.0
BUD31,1.0
BVES,1.0
BVES-AS1,1.0
BYSL,1.0
BZW2,1.0
C10orf143,1.0
C10orf67,1.0
C10orf82,1.0
C10orf88,1.0
C10orf90,1.0
C10orf95,1.0
C10orf95-AS1,1.0
C11orf24,1.0
C11orf65,1.0
C11orf68,1.0
C11orf71,1.0
C11orf87,1.0
C11orf96,1.0
C11orf98,1.0
C12orf29,1.0
C12orf40,1.0
C12orf42,1.0
C12orf43,1.0
C12orf56,1.0
C12orf57,1.0
C12orf60,1.0
C12orf75,1.0
C12orf76,1.0
C13orf46,1.0
C14orf119,1.0
C14orf132,1.0
C14orf178,1.0
C14orf28,1.0
C14orf93,1.0
C15orf39,1.0
C15orf40,1.0
C15orf61,1.0
C16orf46,1.0
C16orf74,1.0
C16orf86,1.0
C16orf87,1.0
C16orf89,1.0
C16orf95,1.0
C16orf96,1.0
C17orf100,1.0
C17orf113,1.0
C17orf114,1.0
C17orf49,1.0
C17orf58,1.0
C17orf67,1.0
C17orf75,1.0
C17orf78,1.0
C17orf80,1.0
C17orf97,1.0
C18orf21,1.0
C18orf32,1.0
C18orf54,1.0
C19orf18,1.0
C19orf25,1.0
C19orf38,1.0
C19orf44,1.0
C19orf47,1.0
C19orf53,1.0
C19orf73,1.0
C19orf81,1.0
C1D,1.0
C1GALT1C1,1.0
C1QBP,1.0
C1QL1,1.0
C1QL2,1.0
C1QTNF1,1.0
C1QTNF2,1.0
C1QTNF4,1.0
C1QTNF6,1.0
C1QTNF7,1.0
C1QTNF7-AS1,1.0
C1R,1.0
C1RL,1.0
C1RL-AS1,1.0
C1S,1.0
C1orf105,1.0
C1orf109,1.0
C1orf112,1.0
C1orf115,1.0
C1orf122,1.0
C1orf131,1.0
C1orf162,1.0
C1orf174,1.0
C1orf198,1.0
C1orf21,1.0
C1orf216,1.0
C1orf220,1.0
C1orf226,1.0
C1orf35,1.0
