Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
Astro AQP4 SLC1A2,Astrocyte,24.0,5.741626794258373,9.266409266409266,4.8582995951417,12,50,209,Astrocytes,8.0,6.349206349206349,7.079646017699115,3.669724770642202,4,50,63,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
L6 OPRK1 THEMIS RGS6,Lake et al.science.ex8,10.0,8.47457627118644,9.174311926605505,4.807692307692308,5,50,59,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78,Neurons,10.0,2.4630541871921183,3.952569169960475,2.0161290322580645,5,50,203
PC P2RY14 GRM8,Pericyte,6.0,15.789473684210526,8.695652173913043,4.545454545454546,3,50,19,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28
Astro GFAP FABP7,Astrocyte,22.0,5.263157894736842,8.494208494208493,4.435483870967742,11,50,209,Mature astrocyte,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
InN LAMP5 RELN,Neuroblasts,8.0,8.0,8.0,4.166666666666666,4,50,50,Inhibitory neuron,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6,Interneuron,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7
SMC ACTA2 CNN1,Smooth muscle cell,4.0,66.66666666666666,7.547169811320755,3.9215686274509802,2,50,3,Progenitor cell,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Neural stem cell,4.0,8.0,5.333333333333334,2.73972602739726,2,50,25
InN PVALB HPSE,Parvalbumin interneuron,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Inhibitory neuron,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6
InN VIP EXPH5,Lake et al.science.in3,4.0,15.384615384615385,6.349206349206351,3.278688524590164,2,50,13,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59
InN VIP CLSTN2,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Immature neurons,4.0,5.263157894736842,4.545454545454545,2.3255813953488373,2,50,38
InN LAMP5 BMP7,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69,Neuron,10.0,2.8901734104046244,4.484304932735426,2.293577981651376,5,50,173,Bergmann glia,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41
L3-5 RORB PCBP3 IL1RAPL2,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35,Lake et al.science.ex8,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59
L2-3 CUX2 ACVR1C THSD7A,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35,Lake et al.science.ex1,2.0,7.142857142857142,3.125,1.5873015873015872,1,50,14,Neurons,6.0,1.477832512315271,2.3715415019762847,1.2,3,50,203
L3-5 RORB GABRG1 KCNH7,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Lake et al.science.in5,2.0,14.285714285714285,3.508771929824562,1.7857142857142856,1,50,7,Lake et al.science.ex5,2.0,11.11111111111111,3.389830508474577,1.7241379310344827,1,50,9
L2-3 CUX2 NTNG1 PALMD,Immature neurons,2.0,2.631578947368421,2.2727272727272725,1.1494252873563218,1,50,38,Neuroblasts,2.0,2.0,2.0,1.0101010101010102,1,50,50,Neurons,4.0,0.9852216748768473,1.5810276679841897,0.796812749003984,2,50,203
